edge_type	source_id	source_name	source_chr	target_id	target_name	target_symbol	effect_size	p_value	amount	unit	evidence	condition	pmid	verdict	audit_notes
FoodToNutrient	FDC:2646172	"Beef, ribeye, steak, boneless, choice, raw"		USDA:255	Water				60.63	G				verified	
FoodToNutrient	FDC:1750337	"Soy milk, unsweetened, plain, shelf stable"		USDA:501	Tryptophan				0.04625	G				verified	
FoodToNutrient	FDC:2346403	"Potatoes, gold, without skin, raw"		CHEBI:28384	Vitamin K (phylloquinone)				0.8	UG				verified	
FoodToNutrient	FDC:325198	"Cheese, pasteurized process, American, vitamin D fortified"		CHEBI:26208	"Fatty acids, total polyunsaturated"				1.09	G				verified	
FoodToNutrient	FDC:1104812	"Flour, rice, brown"		USDA:202	Nitrogen				1.15	G				verified	
FoodToNutrient	FDC:2346412	"Grapes, red, seedless, raw"		CHEBI:36080	Protein				0.914375	G				verified	
FoodToNutrient	FDC:333008	"Cookies, oatmeal, soft, with raisins"		USDA:607	SFA 4:0				0.011	G				verified	
FoodToNutrient	FDC:2346413	"Grapes, green, seedless, raw"		CHEBI:24875	"Iron, Fe"				0.1991	MG				verified	
FoodToNutrient	FDC:2003602	"Mushroom, maitake"		CHEBI:26948	Thiamin				0.009875	MG				verified	
FoodToNutrient	FDC:2258591	"Peppers, bell, orange, raw"		CHEBI:29073	"Vitamin C, total ascorbic acid"				158.3	MG				verified	
FoodToNutrient	FDC:790508	"Butter, stick, salted"		USDA:610	SFA 10:0				1.92	G				verified	
FoodToNutrient	FDC:334462	"Restaurant, Chinese, sweet and sour pork"		USDA:517	Proline				0.447	G				verified	
FoodToNutrient	FDC:748967	"Eggs, Grade A, Large, egg whole"		USDA:675	"PUFA 18:2 n-6 c,c"				1.46	G				verified	
FoodToNutrient	FDC:335240	"Bread, whole-wheat, commercially prepared"		CHEBI:22984	"Calcium, Ca"				163	MG				verified	
FoodToNutrient	FDC:326135	"Cheese, swiss"		USDA:624	SFA 22:0				0.014	G				verified	
FoodToNutrient	FDC:327699	"Strawberries, raw"		USDA:255	Water				91.1	G				verified	
FoodToNutrient	FDC:1104647	"Garlic, raw"		CHEBI:27568	"Selenium, Se"				9.8	UG				verified	
FoodToNutrient	FDC:326135	"Cheese, swiss"		CHEBI:18291	"Manganese, Mn"				0.027	MG				verified	
FoodToNutrient	FDC:2257044	"Soy milk, sweetened, plain, refrigerated"		USDA:505	Lysine				0.2	G				verified	
FoodToNutrient	FDC:748366	"Oil, soybean"		USDA:653	SFA 17:0				0.086	G				verified	
FoodToNutrient	FDC:747445	"Beans, Dry, Pinto (0% moisture)"		CHEBI:28659	"Phosphorus, P"				507	MG				verified	
FoodToNutrient	FDC:2684445	"Fish, catfish, farm raised, raw"		USDA:314	"Iodine, I"				1.94	UG				verified	
FoodToNutrient	FDC:1750351	"Oil, olive, extra light"		USDA:615	SFA 20:0				0.4017	G				verified	
FoodToNutrient	FDC:335425	"Beans, Dry, Brown (0% moisture)"		USDA:209	Starch				37.2	G				verified	
FoodToNutrient	FDC:1105430	"Apples, red delicious, with skin, raw"		CHEBI:17015	Riboflavin				0.066	MG				verified	
FoodToNutrient	FDC:746761	"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"		CHEBI:33234	Vitamin E (alpha-tocopherol)				0.21	MG				verified	
FoodToNutrient	FDC:1750342	"Apples, granny smith, with skin, raw"		CHEBI:16646	"Carbohydrate, by difference"				14.142975	G				verified	
FoodToNutrient	FDC:334720	"Restaurant, Latino, pupusas con frijoles (pupusas, bean)"		USDA:501	Tryptophan				0.057	G				verified	
FoodToNutrient	FDC:2685573	"Cauliflower, raw"		CHEBI:33252	Ash				0.6788	G				verified	
FoodToNutrient	FDC:1750349	"Oil, sunflower"		USDA:652	SFA 15:0				0.01819	G				verified	
FoodToNutrient	FDC:2003599	"Mushroom, king oyster"		USDA:	Total Tocopherols				0.8038	MG				verified	
FoodToNutrient	FDC:322228	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"		USDA:613	SFA 16:0				0.265	G				verified	
FoodToNutrient	FDC:2685582	"Tomato, puree, canned"		USDA:211	Glucose				2.06	G				verified	
FoodToNutrient	FDC:746782	"Milk, whole, 3.25% milkfat, with added vitamin D"		USDA:320	"Vitamin A, RAE"				32	UG				verified	
FoodToNutrient	FDC:2514745	"Pork, ground, raw"		CHEBI:17855	Total lipid (fat)				17.49	G				verified	
FoodToNutrient	FDC:322559	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"		CHEBI:26607	"Fatty acids, total saturated"				0.049	G				verified	
FoodToNutrient	FDC:329370	"Cheese, mozzarella, low moisture, part-skim"		CHEBI:27306	Vitamin B-6				0.09	MG				verified	
FoodToNutrient	FDC:322892	"Milk, whole, 3.25% milkfat, with added vitamin D"		USDA:501	Tryptophan				0.043	G				verified	
FoodToNutrient	FDC:334247	"Sugars, granulated"		CHEBI:18291	"Manganese, Mn"				0.004	MG				verified	
FoodToNutrient	FDC:746761	"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"		USDA:654	SFA 24:0				0.002	G				verified	
FoodToNutrient	FDC:2346410	"Raspberries, raw"		USDA:416	Biotin				3.433	UG				verified	
MicrobeToNutrient	NCBITaxon:28026	Bifidobacterium pseudocatenulatum		CHEBI:28499	Kaempferol						causally	healthy	17439230	verified	
MicrobeToNutrient	NCBITaxon:292800	Flavonifractor plautii		CHEBI:32980	3-(4-Hydroxyphenyl)propionic acid						causally	healthy	14532034	verified	
MicrobeToNutrient	NCBITaxon:1502	Clostridium perfringens		CHEBI:17968	Butyrate						causally	healthy	37592891	verified	
MicrobeToNutrient	NCBITaxon:572511	Blautia		CHEBI:17968	Butyrate						causally	idiopathic inflammatory myopathies	35360108	verified	
MicrobeToNutrient	NCBITaxon:817	Bacteroides fragilis		CHEBI:5298	Genipin						causally	healthy	22553067	verified	
MicrobeToNutrient	NCBITaxon:626932	Alistipes indistinctus		CHEBI:28484	Isovaleric acid						causally	healthy	19667375	verified	
MicrobeToNutrient	NCBITaxon:821	Phocaeicola vulgatus		CHEBI:34741	Equol						causally	colorectal cancer	32218321	verified	
MicrobeToNutrient	NCBITaxon:673271	Catenibacillus scindens		CHEBI:28197	Daidzein						causally	healthy	20946528	verified	
MicrobeToNutrient	NCBITaxon:39490	Eubacterium ramulus		CHEBI:41941	"3,4-Dihydroxyphenylacetic acid"						causally	healthy	10648107	verified	
MicrobeToNutrient	NCBITaxon:1596	Lactobacillus gasseri		CHEBI:17521	Quinic acid						causally	healthy	11412317	verified	
MicrobeToNutrient	NCBITaxon:29347	[Clostridium] scindens		CHEBI:15740	Formate						causally	healthy	30737348	verified	
MicrobeToNutrient	NCBITaxon:47678	Bacteroides caccae		CHEBI:17405	4-Pyridoxic acid						causally	healthy	31235863	verified	
MicrobeToNutrient	NCBITaxon:562	Escherichia coli		CHEBI:18139	Trimethylamine						causally	healthy	34362844	verified	
MicrobeToNutrient	NCBITaxon:1343173	Enterococcus sp. 45		CHEBI:18152	Myricetin						causally	healthy	24882500	verified	
MicrobeToNutrient	NCBITaxon:1590	Lactiplantibacillus plantarum		CHEBI:29073	"Vitamin C, total ascorbic acid"						causally	healthy	36564415	verified	
MicrobeToNutrient	NCBITaxon:1678	Bifidobacterium		CHEBI:15740	Formate						causally	healthy	37592891	verified	
MicrobeToNutrient	NCBITaxon:39490	Eubacterium ramulus		CHEBI:50202	"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one"						causally	healthy	15466559	verified	
MicrobeToNutrient	NCBITaxon:292800	Flavonifractor plautii		CHEBI:41941	"3,4-Dihydroxyphenylacetic acid"						causally	healthy	14532034	verified	
MicrobeToNutrient	NCBITaxon:216816	Bifidobacterium longum		CHEBI:67988	Ginsenoside Rd						causally	healthy	22466563	verified	
MicrobeToNutrient	NCBITaxon:1485	Clostridium		CHEBI:30763	4-Hydroxybenzoic acid						causally	healthy	36076453	verified	
MicrobeToNutrient	NCBITaxon:1509	Clostridium sporogenes		CHEBI:24813	Indole-3-lactic acid						causally	healthy	33076930	verified	
MicrobeToNutrient	NCBITaxon:33882	Microbacterium		CHEBI:17405	4-Pyridoxic acid						causally	healthy	31235863	verified	
MicrobeToNutrient	NCBITaxon:1449386	bacterium MRG-IFC-1		CHEBI:28197	Daidzein						causally	healthy	25199800	verified	
MicrobeToNutrient	NCBITaxon:1266601	Bacillus sp. 46		CHEBI:68352	Isoquercetin						causally	healthy	24463398	verified	
MicrobeToNutrient	NCBITaxon:853	Faecalibacterium prausnitzii		CHEBI:47952	D-Glucuronic Acid						causally	colitis	25900655	verified	
MicrobeToNutrient	NCBITaxon:29347	[Clostridium] scindens		CHEBI:30089	Acetate						causally	healthy	30737348	verified	
MicrobeToNutrient	NCBITaxon:33945	Enterococcus avium		CHEBI:17558	Quercitrin						causally	healthy	26505733	verified	
MicrobeToNutrient	NCBITaxon:673271	Catenibacillus scindens		CHEBI:32980	3-(4-Hydroxyphenyl)propionic acid						causally	healthy	20946528	verified	
MicrobeToNutrient	NCBITaxon:39488	Anaerobutyricum hallii		CHEBI:17968	Butyrate						causally	healthy	28894218	verified	
MicrobeToNutrient	NCBITaxon:239934	Akkermansia		CHEBI:17687	Glycocholic acid						causally	healthy	31235863	verified	
MicrobeToNutrient	NCBITaxon:562	Escherichia coli		CHEBI:17521	Quinic acid						causally	healthy	11412317	verified	
MicrobeToNutrient	NCBITaxon:29347	[Clostridium] scindens		CHEBI:28834	Deoxycholic Acid						causally	healthy	23836456	verified	
MicrobeToNutrient	NCBITaxon:1680	Bifidobacterium adolescentis		CHEBI:28499	Kaempferol						causally	healthy	17439230	verified	
MicrobeToNutrient	NCBITaxon:1686	Bifidobacterium catenulatum		CHEBI:28197	Daidzein						causally	healthy	17439230	verified	
MicrobeToNutrient	NCBITaxon:37734	Enterococcus casseliflavus		CHEBI:16651	L-lactate						causally	healthy	9914304	verified	
MicrobeToNutrient	NCBITaxon:1351	Enterococcus faecalis		CHEBI:67246	Lariciresinol						causally	healthy	16765860	verified	
MicrobeToNutrient	NCBITaxon:626938	Succinatimonas hippei		CHEBI:30031	Succinate						causally	healthy	19749029	verified	
MicrobeToNutrient	NCBITaxon:1509	Clostridium sporogenes		CHEBI:15729	L-ornithine						causally	healthy	36070752	verified	
MicrobeToNutrient	NCBITaxon:4932	Saccharomyces cerevisiae		CHEBI:16236	Ethanol						causally	healthy	26858714	verified	
MicrobeToNutrient	NCBITaxon:186803	Lachnospiraceae		CHEBI:43580	3-Indolepropionic acid						causally	healthy	31030641	verified	
MicrobeToNutrient	NCBITaxon:142586	Eubacterium sp.		CHEBI:81556	Enterodiol						causally	healthy	16765860	verified	
MicrobeToNutrient	NCBITaxon:39490	Eubacterium ramulus		CHEBI:32980	3-(4-Hydroxyphenyl)propionic acid						causally	healthy	10648107	verified	
MicrobeToNutrient	NCBITaxon:1926307	Veillonella sp.		CHEBI:34741	Equol						causally	healthy	19580283	verified	
MicrobeToNutrient	NCBITaxon:28116	Bacteroides ovatus		CHEBI:16243	Quercetin						causally	healthy	19580283	verified	
MicrobeToNutrient	NCBITaxon:68766	Fusobacterium sp.		CHEBI:16136	Hydrogen Sulfide						causally	Functional dyspepsia	36167662	verified	
MicrobeToNutrient	NCBITaxon:745368	Gemmiger formicilis		CHEBI:17968	Butyrate						causally	healthy	36771360	verified	
MicrobeToNutrient	NCBITaxon:544645	Butyricimonas virosa		CHEBI:16135	Isobutyric acid						causally	healthy	19542124	verified	
MicrobeToNutrient	NCBITaxon:1485	Clostridium		CHEBI:15361	Pyruvate						causally	healthy	22325238	verified	
MicrobeToNutrient	NCBITaxon:820	Bacteroides uniformis		CHEBI:34741	Equol						causally	colorectal cancer	32218321	verified	
MicrobeToNutrient	NCBITaxon:1338	Streptococcus intermedius		CHEBI:34741	Equol						causally	healthy	19580283	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				HNF4A					causally		21143932	verified	
MicrobeToGene	NCBITaxon:562	Escherichia coli				OCLN					causally		31315566	verified	
MicrobeToGene	NCBITaxon:47715	Lacticaseibacillus rhamnosus				TJP1					causally		31732863	verified	
MicrobeToGene	NCBITaxon:33038	Mediterraneibacter gnavus				MUC2					causally		26868655	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				CNKSR3					causally		21143932	verified	
MicrobeToGene	NCBITaxon:1597	Lacticaseibacillus paracasei				IL18					causally		30767231	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				IFNG					causally		18077037	verified	
MicrobeToGene	NCBITaxon:1304	Streptococcus salivarius				NFKB1					causally		17485456	verified	
MicrobeToGene	NCBITaxon:1304	Streptococcus salivarius				FABP2					causally		25946041	verified	
MicrobeToGene	NCBITaxon:853	Faecalibacterium prausnitzii				FOXP3					causally		23643066	verified	
MicrobeToGene	NCBITaxon:823	Parabacteroides distasonis				CXCL8					causally		17485456	verified	
MicrobeToGene	NCBITaxon:328812	Parabacteroides goldsteinii				MYD88					causally		36585238	verified	
MicrobeToGene	NCBITaxon:1351	Enterococcus faecalis				IL10					causally		18234854	verified	
MicrobeToGene	NCBITaxon:851	Fusobacterium nucleatum				LDHA					causally		33318144	verified	
MicrobeToGene	NCBITaxon:1579	Lactobacillus acidophilus				SLC9A3					causally		23086913	verified	
MicrobeToGene	NCBITaxon:47715	Lacticaseibacillus rhamnosus				OCLN					causally		31732863	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				IL6					causally		28249045	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				CLDN1					causally		20412608	verified	
MicrobeToGene	NCBITaxon:1597	Lacticaseibacillus paracasei				IL4					causally		30767231	verified	
MicrobeToGene	NCBITaxon:1689	Bifidobacterium dentium				Htr1a					causally		32795610	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				IL10					causally		30765132	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				ACTB					causally		21143932	verified	
MicrobeToGene	NCBITaxon:1351	Enterococcus faecalis				PLIN2					causally		18234854	verified	
MicrobeToGene	NCBITaxon:853	Faecalibacterium prausnitzii				HDAC3					causally		30809639	verified	
MicrobeToGene	NCBITaxon:853	Faecalibacterium prausnitzii				TLR2					causally		29112296	verified	
MicrobeToGene	NCBITaxon:53345	Enterococcus durans				IL6					causally		28239378	verified	
MicrobeToGene	NCBITaxon:1382	Lancefieldella parvula				ANGPTL4					causally		28266623	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				CXCL8					causally		28249045	verified	
MicrobeToGene	NCBITaxon:1579	Lactobacillus acidophilus				BCL10					causally		24130731	verified	
MicrobeToGene	NCBITaxon:851	Fusobacterium nucleatum				ENO1-IT1					causally		33318144	verified	
MicrobeToGene	NCBITaxon:47715	Lacticaseibacillus rhamnosus				CLDN1					causally		31732863	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				MAPK1					causally		28249045	verified	
MicrobeToGene	NCBITaxon:1496	Clostridioides difficile				MGAT4A					causally		32066975	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				F11R					causally		20412608	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				IL12B					causally		30765132	verified	
MicrobeToGene	NCBITaxon:562	Escherichia coli				SLC19A3					causally		19628653	verified	
MicrobeToGene	NCBITaxon:239935	Akkermansia muciniphila				TLR4					causally		28249045	verified	
MicrobeToGene	NCBITaxon:853	Faecalibacterium prausnitzii				TLR6					causally		29112296	verified	
MicrobeToGene	NCBITaxon:562	Escherichia coli				TGFB1					causally		33902702	verified	
MicrobeToGene	NCBITaxon:1351	Enterococcus faecalis				CXCL10					causally		19166300	verified	
MicrobeToGene	NCBITaxon:851	Fusobacterium nucleatum				HK2					causally		33318144	verified	
MicrobeToGene	NCBITaxon:823	Parabacteroides distasonis				NFKB1					causally		17485456	verified	
MicrobeToGene	NCBITaxon:1590	Lactiplantibacillus plantarum				JUP					causally		21143932	verified	
MicrobeToGene	NCBITaxon:1304	Streptococcus salivarius				CXCL8					causally		21602373	verified	
MicrobeToGene	NCBITaxon:102106	Collinsella				CXCL5					causally		27102666	verified	
MicrobeToGene	NCBITaxon:165179	Segatella copri				ANGPTL4					causally		28266623	verified	
MicrobeToGene	NCBITaxon:1579	Lactobacillus acidophilus				CXCL8					causally		24130731	verified	
MicrobeToGene	NCBITaxon:853	Faecalibacterium prausnitzii				IL10					causally		30765132	verified	
MicrobeToGene	NCBITaxon:216816	Bifidobacterium longum				CYP7A1					causally		29800811	verified	
MicrobeToGene	NCBITaxon:817	Bacteroides fragilis				IL10					causally		23828891	verified	
